Region,Country/Area,Year,Series,Value,Source,Continent,Hofstede_pdi,Hofstede_idv,Hofstede_mas,Hofstede_uai,Hofstede_mean
60,Bermuda,2017,GDP real rates of growth (percent),2.5,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Asia,,,,,
64,Bhutan,2015,GDP real rates of growth (percent),6.6,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Asia,,,,,
64,Bhutan,2016,GDP real rates of growth (percent),8,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Asia,,,,,
64,Bhutan,2017,GDP real rates of growth (percent),6,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Asia,,,,,
68,Bolivia (Plurin. State of),2015,GDP real rates of growth (percent),4.9,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",America,,,,,
68,Bolivia (Plurin. State of),2016,GDP real rates of growth (percent),4.3,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",America,,,,,
68,Bolivia (Plurin. State of),2017,GDP real rates of growth (percent),4.2,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",America,,,,,
70,Bosnia and Herzegovina,2015,GDP real rates of growth (percent),3.1,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Europe,,,,,
70,Bosnia and Herzegovina,2016,GDP real rates of growth (percent),3.1,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Europe,,,,,
70,Bosnia and Herzegovina,2017,GDP real rates of growth (percent),3,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Europe,,,,,
72,Botswana,2015,GDP real rates of growth (percent),-1.7,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Africa,,,,,
72,Botswana,2016,GDP real rates of growth (percent),4.3,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Africa,,,,,
72,Botswana,2017,GDP real rates of growth (percent),2.4,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Africa,,,,,
76,Brazil,2015,GDP real rates of growth (percent),-3.8,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",America,69,38,49,76,58
76,Brazil,2016,GDP real rates of growth (percent),-3.5,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",America,69,38,49,76,58
76,Brazil,2017,GDP real rates of growth (percent),1,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",America,69,38,49,76,58
92,British Virgin Islands,2015,GDP real rates of growth (percent),0.3,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Europe,,,,,
92,British Virgin Islands,2016,GDP real rates of growth (percent),0.3,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Europe,,,,,
92,British Virgin Islands,2017,GDP real rates of growth (percent),0.5,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Europe,,,,,
96,Brunei Darussalam,2015,GDP real rates of growth (percent),-0.4,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Asia,,,,,
96,Brunei Darussalam,2016,GDP real rates of growth (percent),-2.5,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Asia,,,,,
96,Brunei Darussalam,2017,GDP real rates of growth (percent),1.3,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Asia,,,,,
100,Bulgaria,2015,GDP real rates of growth (percent),3.5,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Europe,70,30,40,85,56.25
100,Bulgaria,2016,GDP real rates of growth (percent),3.9,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Europe,70,30,40,85,56.25
100,Bulgaria,2017,GDP real rates of growth (percent),3.8,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Europe,70,30,40,85,56.25
854,Burkina Faso,2015,GDP real rates of growth (percent),3.9,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Africa,,,,,
854,Burkina Faso,2016,GDP real rates of growth (percent),5.9,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Africa,,,,,
854,Burkina Faso,2017,GDP real rates of growth (percent),6.3,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Africa,,,,,
108,Burundi,2015,GDP real rates of growth (percent),-0.4,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Africa,,,,,
108,Burundi,2016,GDP real rates of growth (percent),2.8,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Africa,,,,,
108,Burundi,2017,GDP real rates of growth (percent),0,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Africa,,,,,
132,Cabo Verde,2015,GDP real rates of growth (percent),1,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Africa,,,,,
132,Cabo Verde,2016,GDP real rates of growth (percent),4.7,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Africa,,,,,
132,Cabo Verde,2017,GDP real rates of growth (percent),4,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Africa,,,,,
116,Cambodia,2015,GDP real rates of growth (percent),7,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Asia,,,,,
116,Cambodia,2016,GDP real rates of growth (percent),6.9,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Asia,,,,,
116,Cambodia,2017,GDP real rates of growth (percent),7,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Asia,,,,,
120,Cameroon,2015,GDP real rates of growth (percent),5.7,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Africa,,,,,
120,Cameroon,2016,GDP real rates of growth (percent),4.6,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Africa,,,,,
120,Cameroon,2017,GDP real rates of growth (percent),3.5,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Africa,,,,,
124,Canada,2015,GDP real rates of growth (percent),1,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",America,46.5,76.5,48.5,54,56.375
124,Canada,2016,GDP real rates of growth (percent),1.4,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",America,46.5,76.5,48.5,54,56.375
124,Canada,2017,GDP real rates of growth (percent),3,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",America,46.5,76.5,48.5,54,56.375
136,Cayman Islands,2015,GDP real rates of growth (percent),2.8,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Europe,,,,,
136,Cayman Islands,2016,GDP real rates of growth (percent),3.5,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Europe,,,,,
136,Cayman Islands,2017,GDP real rates of growth (percent),2.3,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Europe,,,,,
140,Central African Republic,2015,GDP real rates of growth (percent),4.8,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Africa,,,,,
140,Central African Republic,2016,GDP real rates of growth (percent),4.5,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Africa,,,,,
140,Central African Republic,2017,GDP real rates of growth (percent),4.3,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Africa,,,,,
148,Chad,2015,GDP real rates of growth (percent),3.8,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Africa,,,,,
148,Chad,2016,GDP real rates of growth (percent),-2.7,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Africa,,,,,
148,Chad,2017,GDP real rates of growth (percent),-3.1,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Africa,,,,,
152,Chile,2015,GDP real rates of growth (percent),2.3,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",America,63,23,28,86,50
152,Chile,2016,GDP real rates of growth (percent),1.3,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",America,63,23,28,86,50
152,Chile,2017,GDP real rates of growth (percent),1.5,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",America,63,23,28,86,50
156,China,2015,GDP real rates of growth (percent),6.9,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Asia,80,20,66,30,49
156,China,2016,GDP real rates of growth (percent),6.7,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Asia,80,20,66,30,49
156,China,2017,GDP real rates of growth (percent),6.9,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Asia,80,20,66,30,49
344,"China, Hong Kong SAR",2015,GDP real rates of growth (percent),2.4,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Asia,68,25,57,29,44.75
344,"China, Hong Kong SAR",2016,GDP real rates of growth (percent),2.1,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Asia,68,25,57,29,44.75
344,"China, Hong Kong SAR",2017,GDP real rates of growth (percent),3.8,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Asia,68,25,57,29,44.75
446,"China, Macao SAR",2015,GDP real rates of growth (percent),-21.6,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Asia,,,,,
446,"China, Macao SAR",2016,GDP real rates of growth (percent),-0.9,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Asia,,,,,
446,"China, Macao SAR",2017,GDP real rates of growth (percent),9.1,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Asia,,,,,
170,Colombia,2015,GDP real rates of growth (percent),3.1,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",America,67,13,64,80,56
170,Colombia,2016,GDP real rates of growth (percent),2,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",America,67,13,64,80,56
170,Colombia,2017,GDP real rates of growth (percent),1.8,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",America,67,13,64,80,56
174,Comoros,2015,GDP real rates of growth (percent),2,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Africa,,,,,
174,Comoros,2016,GDP real rates of growth (percent),4.1,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Africa,,,,,
174,Comoros,2017,GDP real rates of growth (percent),3.4,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Africa,,,,,
178,Congo,2015,GDP real rates of growth (percent),-13.2,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Africa,,,,,
178,Congo,2016,GDP real rates of growth (percent),-2.8,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Africa,,,,,
178,Congo,2017,GDP real rates of growth (percent),-3.1,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Africa,,,,,
188,Costa Rica,2015,GDP real rates of growth (percent),3.6,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",America,35,15,21,86,39.25
188,Costa Rica,2016,GDP real rates of growth (percent),4.2,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",America,35,15,21,86,39.25
188,Costa Rica,2017,GDP real rates of growth (percent),3.2,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",America,35,15,21,86,39.25
191,Croatia,2015,GDP real rates of growth (percent),2.4,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Europe,73,33,40,80,56.5
191,Croatia,2016,GDP real rates of growth (percent),3.5,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Europe,73,33,40,80,56.5
191,Croatia,2017,GDP real rates of growth (percent),2.9,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Europe,73,33,40,80,56.5
192,Cuba,2015,GDP real rates of growth (percent),4.4,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",America,,,,,
192,Cuba,2016,GDP real rates of growth (percent),0.5,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",America,,,,,
192,Cuba,2017,GDP real rates of growth (percent),1.8,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",America,,,,,
196,Cyprus,2015,GDP real rates of growth (percent),2,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Asia,,,,,
196,Cyprus,2016,GDP real rates of growth (percent),4.8,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Asia,,,,,
